address,script_type,wave1_branch,swept_at_height,input_count,drained_btc,input_sat
bc1q0tgsl3av6q4guywmhtyy08ah8lr0y7l3m988w0,p2wpkh,holding_3_204,960183,1,0.14999700,14999700
bc1q3ruhttadt0m02gzyv4npxq04wxs7t4rll0djxu,p2wpkh,holding_3_204,960183,1,0.16227798,16227798
bc1q3tuuk4pw72nqdeazfq5x7eux0l58n85926ghlt,p2wpkh,holding_3_204,960183,1,0.27080170,27080170
bc1q5hpshapndppvugv0ume80v6xspzt4huvtl93wr,p2wpkh,holding_3_204,960183,1,0.00204157,204157
bc1q5jsd2qy4r5m89faek7ufuk2zyva9qm06e6tynm,p2wpkh,holding_3_204,960183,4,7.83084392,783084392
bc1q5re8sup3pgncrm5hlk3tn9q758kfm6xlpcxmpa,p2wpkh,holding_3_204,960183,1,0.00270138,270138
bc1q657uv3wrtnna7atmntx4ktnenxw8hgganxuq4h,p2wpkh,holding_3_204,960183,1,1.02652542,102652542
bc1q6tt6tjrgelucg7w6rkwu5k5q845cw7ld0vssmr,p2wpkh,holding_3_204,960183,1,0.00931149,931149
bc1q6vuxvwrzdkj7h34we3ecdpze9qedf9pz95y5m8,p2wpkh,holding_3_204,960183,1,0.01717850,1717850
bc1q74eavdjft9julgjlmgmt8ygmymdwregyny3pwe,p2wpkh,holding_3_204,960183,1,0.10260000,10260000
bc1q7j540r0l9a955chpkc8y6mnaz86mssagsky4jp,p2wpkh,holding_3_204,960183,1,0.51579993,51579993
bc1q7uddgqmy46fycdf5v37r8svrceeumvc4gxtm83,p2wpkh,holding_3_204,960183,1,0.72403382,72403382
bc1q868qkyj6svruljur264fxq7yk4w5aq6fz946dq,p2wpkh,holding_3_204,960183,1,0.12745110,12745110
bc1qa4gfzasxs3dhnyq4l6xd4krdfac8s8u5qg5gs5,p2wpkh,holding_3_204,960183,1,0.00015887,15887
bc1qajcvdkj2nrgzuycs4ksuknkdhl8zga8qnr2a86,p2wpkh,holding_3_204,960183,1,0.00015867,15867
bc1qdjtt3ujus3z69ga0049uwusna3jtzq0atjg774,p2wpkh,holding_3_204,960183,1,0.01969512,1969512
bc1qdukrvkwdtqhmu0z89nall4d0rej6xg6ml5ncgz,p2wpkh,holding_3_204,960183,1,0.00007943,7943
bc1qehvajvfj5xrt24a25hx5sj03h9r56uuq0pxpvq,p2wpkh,holding_3_204,960183,1,0.01999985,1999985
bc1qemfejea9nflklu39mt8yf8gnvrkwtgv4aqxavr,p2wpkh,holding_3_204,960183,1,0.19220000,19220000
bc1qfed5advvk8wks6lywp2fd7dz2cszwuptsef7kf,p2wpkh,holding_3_204,960183,1,4.99998186,499998186
bc1qg6u7xf7c6vv3r3vjadq2emlem7ajw86372sth4,p2wpkh,holding_3_204,960183,1,0.00499296,499296
bc1qgc5argf4zc22rzfmxrnfg5whx7s2fcy8z0y6xk,p2wpkh,holding_3_204,960183,1,0.00447000,447000
bc1qhl7gp6srrsr9mnqle40c69vradt9e9w6t2f0r9,p2wpkh,holding_3_204,960183,1,0.00017788,17788
bc1qhnytespmvs9tfkj8pg0t3amu863xn7tnjundxx,p2wpkh,holding_3_204,960183,1,0.01070830,1070830
bc1qhvj9ndng3sv34upy0rvjzcs5f75q8hacdxrkcm,p2wpkh,holding_3_204,960183,1,0.13349339,13349339
bc1qj2h6alz6f0vjs9prz0tc8v0zv2knztph3tqjf4,p2wpkh,holding_3_204,960183,1,1.02101793,102101793
bc1ql4klhzz067aeduwt4t8sldmklkce3yt6m4ch7a,p2wpkh,holding_3_204,960183,1,0.01667487,1667487
bc1qlu4rclapu54ed7yxmzyxuhv6hu68hhl7l8a7lw,p2wpkh,holding_3_204,960183,1,0.00360984,360984
bc1qm4jxj20lqgcynt5cfqxf4saclm48njcl0z0ur4,p2wpkh,holding_3_204,960183,1,0.02544714,2544714
bc1qmser8c5d37dyc9w6yh78qngj8lf4jh96nq8rv6,p2wpkh,holding_3_204,960183,1,0.07850000,7850000
bc1qnwz6fef795px9jrd50ht0l7pyyvwha2e0nsd4k,p2wpkh,holding_3_204,960183,4,0.94690969,94690969
bc1qpz88jxztp92qxzazn9wsx9kc6u0wtq7meqzczz,p2wpkh,holding_3_204,960183,1,0.00138740,138740
bc1qqpcsg06nnu3uc6euaqj54she2z46rskw4d87ud,p2wpkh,holding_3_204,960183,1,0.00015000,15000
bc1qqsqdtltgw02tpuvgys6dc9au592v3tav0f4fyh,p2wpkh,holding_3_204,960183,1,0.13714567,13714567
bc1qruh524aukgcvt84srska2tqamrtaw7jxx973zp,p2wpkh,holding_3_204,960183,1,0.00947238,947238
bc1qstmvrwnr9yvsu58lavhazmqz4vg7ewaya8nka7,p2wpkh,holding_3_204,960183,9,6.61482563,661482563
